브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,원가견적번호,발주통화,제조업체,견적서제출일자,PO_CLS,마감형태,내수구분,적용환율,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD)_공임,(USD)_본사공급자재,(USD)_정상마진,(USD)_기타마진/경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)_본사공급자재,(KRW)_정상마진,(KRW)_기타마진/경비
I,24S,7APQH0143,Inner,폴로 티셔츠,7APQH0143C0001,69000,1633,CQ231000379,KRW,세아상역,2023-10-17,L,직송/원화/세금계산서/FOB,직송,1302.77,3.75047,0.419107,0.313946,0.280172,1.700223,0.782947,0.927255,0.494331,4886.0,546.0,409.0,365.0,2215.0,1020.0,1208.0,644.0
I,24S,7APQH0143,Inner,폴로 티셔츠,7APQH0143K0001,69000,2590,CQ231000378,KRW,세아상역,2023-10-17,B,내수/원화/세금계산서/DDP,내수,1302.77,3.75047,0.419107,0.313946,0.280172,1.700223,0.765292,0.927255,0.494331,4886.0,546.0,409.0,365.0,2215.0,997.0,1208.0,644.0
I,24S,7APQM0143,Inner,폴로 티셔츠,7APQM0143K0001,79000,1300,CQ231200208,KRW,주식회사 신즈디자인하우스,2023-12-05,B,내수/원화/세금계산서/DDP,내수,1302.77,5.237302,0.0,2.102443,0.259447,3.100317,1.033951,1.565894,0.670111,6823.0,0.0,2739.0,338.0,4039.0,1347.0,2040.0,873.0
I,24S,7APQMD141,Inner,폴로 티셔츠,7APQMD141C0001,109000,2894,CQ231000791,KRW,주식회사 신즈디자인하우스,2023-10-26,L,직송/원화/세금계산서/FOB,직송,1302.77,5.152867,0.0,2.420228,0.259447,3.900151,0.974846,1.720948,0.582605,6713.0,0.0,3153.0,338.0,5081.0,1270.0,2242.0,759.0
I,24S,7APQMD141,Inner,폴로 티셔츠,7APQMD141K0001,109000,1500,CQ231000790,KRW,주식회사 신즈디자인하우스,2023-10-26,B,내수/원화/세금계산서/DDP,내수,1302.77,5.152867,0.0,2.420228,0.259447,3.900151,0.957191,1.720948,0.582605,6713.0,0.0,3153.0,338.0,5081.0,1247.0,2242.0,759.0
I,24S,7APQMD343,Inner,폴로 티셔츠,7APQMD343K0001,99000,1960,CQ231200234,KRW,주식회사 신즈디자인하우스,2023-12-05,B,내수/원화/세금계산서/DDP,내수,1302.77,3.808807,0.0,2.820912,0.259447,3.600021,0.957191,1.534423,0.574929,4962.0,0.0,3675.0,338.0,4690.0,1247.0,1999.0,749.0
I,24S,7APQMD441,Inner,폴로 티셔츠,7APQMD441C0001,99000,994,CQ231200230,KRW,주식회사 신즈디자인하우스,2023-12-05,L,직송/원화/세금계산서/FOB,직송,1302.77,3.441897,0.0,2.507734,0.259447,3.699809,0.32239,1.446917,0.886572,4484.0,0.0,3267.0,338.0,4820.0,420.0,1885.0,1155.0
I,24S,7APQMD543,Inner,폴로 티셔츠,7APQMD543C0001,89000,5389,CQ231000459,KRW,㈜에이플러스 스포츠,2023-10-22,L,직송/원화/세금계산서/FOB,직송,1302.77,3.848722,0.237187,2.067901,0.248701,2.699632,0.744567,1.32794,0.46286,5014.0,309.0,2694.0,324.0,3517.0,970.0,1730.0,603.0
I,24S,7APQMD543,Inner,폴로 티셔츠,7APQMD543K0001,89000,70,CQ231000458,KRW,㈜에이플러스 스포츠,2023-10-22,B,내수/원화/세금계산서/DDP,내수,1302.77,3.848722,0.237187,2.067901,0.248701,2.699632,0.726913,1.32794,0.46286,5014.0,309.0,2694.0,324.0,3517.0,947.0,1730.0,603.0
I,24S,7APQV0143,Inner,폴로 티셔츠,7APQV0143C0001,69000,177,CQ231000690,KRW,(주)다올인터내셔널,2023-10-25,B,내수/원화/세금계산서/DDP,내수,1302.77,2.241378,2.754132,1.06926,0.228743,2.000353,0.092111,1.20973,0.350791,2920.0,3588.0,1393.0,298.0,2606.0,120.0,1576.0,457.0
