브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,원가견적번호,발주통화,제조업체,견적서제출일자,PO_CLS,마감형태,내수구분,적용환율,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD)_공임,(USD)_본사공급자재,(USD)_정상마진,(USD)_기타마진/경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)_본사공급자재,(KRW)_정상마진,(KRW)_기타마진/경비
I,23N,7ASHJB13N,Shoes,신발,7ASHJB13NC0001,99000,750,CQ230500836,USD,오주무역(주),2023-05-24,M,직송/외화/세금계산서/FOB,직송,1300.0,4.042308,0.830769,2.823077,0.152308,5.561538,0.013846,0.696154,0.691538,5255.0,1080.0,3670.0,198.0,7230.0,18.0,905.0,899.0
I,23N,7ASHJB13N,Shoes,신발,7ASHJB13NK0001,99000,260,CQ230500835,USD,오주무역(주),2023-05-24,E,한국수입/외화/세금계산서/FOB,내수,1300.0,4.042308,0.830769,2.823077,0.152308,5.561538,0.013846,0.696154,0.691538,5255.0,1080.0,3670.0,198.0,7230.0,18.0,905.0,899.0
I,23N,7ASHJB23N,Shoes,신발,7ASHJB23NC0001,109000,300,CQ230600958,USD,오주무역(주),2023-06-13,M,직송/외화/세금계산서/FOB,직송,1300.0,4.417692,0.684615,2.749231,0.152308,5.735385,0.013846,1.874615,0.858462,5743.0,890.0,3574.0,198.0,7456.0,18.0,2437.0,1116.0
I,23N,7ASHJB53N,Shoes,신발,7ASHJB53NK0001,109000,1990,CQ230500908,USD,오주무역(주),2023-05-24,E,한국수입/외화/세금계산서/FOB,내수,1300.0,4.417692,0.684615,2.749231,0.152308,5.373846,0.013846,1.481538,0.712308,5743.0,890.0,3574.0,198.0,6986.0,18.0,1926.0,926.0
I,23N,7ASHJC13N,Shoes,신발,7ASHJC13NK0001,99000,1100,CQ230600499,USD,오주무역(주),2023-06-08,E,한국수입/외화/세금계산서/FOB,내수,1300.0,4.042308,0.561538,2.823077,0.152308,5.76,0.013846,1.153846,0.691538,5255.0,730.0,3670.0,198.0,7488.0,18.0,1500.0,899.0
I,23N,7ASHJC23N,Shoes,신발,7ASHJC23NK0001,99000,690,CQ230700172,USD,오주무역(주),2023-07-05,E,한국수입/외화/세금계산서/FOB,내수,1300.0,4.042308,0.561538,2.823077,0.152308,5.76,0.013846,1.153846,0.691538,5255.0,730.0,3670.0,198.0,7488.0,18.0,1500.0,899.0
I,23N,7ASHJM33N,Shoes,신발,7ASHJM33NC0001,139000,2620,CQ230500828,USD,오주무역(주),2023-05-24,M,직송/외화/세금계산서/FOB,직송,1300.0,4.189231,0.847692,3.137692,0.152308,5.475385,0.013846,1.262308,0.738462,5446.0,1102.0,4079.0,198.0,7118.0,18.0,1641.0,960.0
I,23N,7ASHJM33N,Shoes,신발,7ASHJM33NK0001,139000,500,CQ230500827,USD,오주무역(주),2023-05-24,E,한국수입/외화/세금계산서/FOB,내수,1300.0,4.189231,0.847692,3.137692,0.152308,5.475385,0.013846,1.262308,0.738462,5446.0,1102.0,4079.0,198.0,7118.0,18.0,1641.0,960.0
I,23N,7ASHJM43N,Shoes,신발,7ASHJM43NC0001,129000,4910,CQ230500905,USD,오주무역(주),2023-05-24,M,직송/외화/세금계산서/FOB,직송,1300.0,4.5,0.523077,3.047692,0.152308,5.376923,0.013846,1.230769,0.739231,5850.0,680.0,3962.0,198.0,6990.0,18.0,1600.0,961.0
I,23N,7ASHJM43N,Shoes,신발,7ASHJM43NK0001,129000,1610,CQ230500904,USD,오주무역(주),2023-05-24,E,한국수입/외화/세금계산서/FOB,내수,1300.0,4.5,0.523077,3.047692,0.152308,5.376923,0.013846,1.230769,0.739231,5850.0,680.0,3962.0,198.0,6990.0,18.0,1600.0,961.0
